epoch,accuracy,loss,val_accuracy,val_loss
0,0.765500009059906,0.6787665486335754,0.8575000166893005,0.3138771951198578
1,0.8650000095367432,0.3541850447654724,0.8337500095367432,0.38617900013923645
2,0.8815000057220459,0.3309631943702698,0.8799999952316284,0.3157389163970947
3,0.8970000147819519,0.2784547209739685,0.8012499809265137,0.7523987293243408
4,0.909500002861023,0.23722076416015625,0.8700000047683716,0.44020262360572815
5,0.9204999804496765,0.21590375900268555,0.8762500286102295,0.39595532417297363
6,0.9304999709129333,0.20209276676177979,0.8224999904632568,0.738829493522644
7,0.9449999928474426,0.17179816961288452,0.8974999785423279,0.3322574198246002
8,0.9509999752044678,0.13514739274978638,0.8974999785423279,0.3844878375530243
9,0.9480000138282776,0.14527694880962372,0.9024999737739563,0.4125864505767822
